,bin_leftedge,count
0,17,162.39986959158298
1,18,236.42331065688316
2,19,308.62009453700506
3,20,307.61352059851004
4,21,285.0809555786348
5,22,280.6710210294253
6,23,304.8427203080538
7,24,236.34216349901666
8,25,249.06531422457778
9,26,230.31386472386947
10,27,232.25515842513602
11,28,242.38119502568176
12,29,213.28657773931215
13,30,214.1984741807655
14,31,219.18208821969003
15,32,191.59381594515526
16,33,198.02050222875647
17,34,210.4601552853908
18,35,190.15912272237063
19,36,218.5108993269758
20,37,170.9528001588085
21,38,177.52819402733923
22,39,191.1094694790458
23,40,215.56626163241543
24,41,175.67393526376713
25,42,172.38505513331742
26,43,174.9874639579048
27,44,155.35457016554847
28,45,170.2333584252495
29,46,190.56073310254013
30,47,165.19210336060334
31,48,135.3745328792667
32,49,137.430814109424
33,50,115.77648476362943
34,51,130.08428057056182
35,52,104.26836367870685
36,53,104.61631861937497
37,54,89.02217201547172
38,55,111.21088650419759
39,56,84.19449164804232
40,57,76.8390542484315
41,58,88.89460778388083
42,59,76.38052981110584
43,60,62.97559870372432
44,61,60.247143459420755
45,62,70.98466274956998
46,63,55.63156883855869
47,64,66.15806064879705
48,65,48.432737814921516
49,66,35.5839469132959
50,67,45.59883171552959
51,68,38.94847928292924
52,69,27.419711482290875
53,70,28.808511409108863
54,71,28.030303897651628
55,72,21.422305252869087
56,73,20.386827610307012
57,74,16.55870420925644
58,75,7.270530868173614
59,76,13.392495794247008
60,77,9.700406273191717
61,78,4.269268564870624
62,79,2.590182432591865
63,80,4.627551866529362
64,81,8.040342434290093
65,82,2.6081936393235803
66,83,-0.15903274266886802
67,84,4.990419567850507
68,85,1.2474374355900768
69,86,2.068731447796101
70,87,-0.2653883590497245
71,88,0.5682851236061446
