,bin_leftedge,count
0,17,-0.5317606242162285
1,18,0.4003160220245179
2,19,0.5631615073180931
3,20,2.675006181932699
4,21,1.9430281938368523
5,22,2.647984329089515
6,23,9.73881463610994
7,24,3.0553807932267603
8,25,5.816715087595845
9,26,6.591464454375077
10,27,6.742450762455666
11,28,10.725761534994785
12,29,7.470405963359285
13,30,7.2853375407711685
14,31,9.528717495625258
15,32,7.067907729970114
16,33,4.149310915172482
17,34,5.522185328941602
18,35,12.397597377568793
19,36,3.643663854535477
20,37,1.7430631573745643
21,38,5.57554537461061
22,39,2.3710273621148508
23,40,7.457245249043991
24,41,3.995258005623591
25,42,5.4357568760889965
26,43,5.626498370215662
27,44,2.7290313569147937
28,45,5.758909463745316
29,46,12.175065479811632
30,47,3.9067448041981527
31,48,4.523145683872002
32,49,1.0890584050201733
33,50,-0.651637765137151
34,51,7.8562712853242145
35,52,1.6216547042515619
36,53,3.624927761392704
37,54,-0.027001199197406355
38,55,0.9797903089938026
39,56,6.519839725482503
40,57,1.5800938484468208
41,58,3.1467902738433855
42,59,0.7235081694496486
43,60,-0.3910707582746604
44,61,4.779167457125155
45,62,0.40671273462606217
46,63,1.3913026161215767
47,64,1.8627061645234306
48,65,3.1196129349754664
49,66,2.338701145110033
50,67,-1.2753873417915744
51,68,0.3559708376696612
52,69,0.8275213215167176
53,70,0.5661113509601494
54,71,2.1808143206845463
55,72,-1.1150855861450437
56,73,-0.006747810022909925
57,74,2.5950325673599544
58,75,-1.0774296933405763
59,76,-0.2958394955027444
60,77,0.7029125844710528
61,78,0.31574399411430965
62,79,-0.3459577996193423
63,80,2.546327664625115
